Author ID,Author Name,Author URL
1390574651,z. wu,https://www.semanticscholar.org/author/1390574651
50243858,v. so,https://www.semanticscholar.org/author/50243858
118746713,nadia beider,https://www.semanticscholar.org/author/118746713
2536862,eddy s. ng,https://www.semanticscholar.org/author/2536862
72210520,greg j. sears,https://www.semanticscholar.org/author/72210520
6231089,nailah ayub,https://www.semanticscholar.org/author/6231089
77298469,e. chang,https://www.semanticscholar.org/author/77298469
49207830,hyun chin,https://www.semanticscholar.org/author/49207830
40033162,j. lee,https://www.semanticscholar.org/author/40033162
1388065803,sarah‐jane derby,https://www.semanticscholar.org/author/1388065803
108518090,a. islam,https://www.semanticscholar.org/author/108518090
144251523,j. thomas,https://www.semanticscholar.org/author/144251523
8615682,i. yoon,https://www.semanticscholar.org/author/8615682
2589748,t. malatinec,https://www.semanticscholar.org/author/2589748
3311304,n. urbancikova,https://www.semanticscholar.org/author/3311304
1764556,o. hudec,https://www.semanticscholar.org/author/1764556
40604178,hugh p. cassidy,https://www.semanticscholar.org/author/40604178
145655761,q. he,https://www.semanticscholar.org/author/145655761
34975002,m. lubbers,https://www.semanticscholar.org/author/34975002
145895823,j. l. molina,https://www.semanticscholar.org/author/145895823
32180871,d. connor,https://www.semanticscholar.org/author/32180871
104865913,v. riniolo,https://www.semanticscholar.org/author/104865913
1416048967,a. bak-klimek,https://www.semanticscholar.org/author/1416048967
4590859,t. karatzias,https://www.semanticscholar.org/author/4590859
119505273,lawrie elliott,https://www.semanticscholar.org/author/119505273
40056573,a. dickson,https://www.semanticscholar.org/author/40056573
