Paper ID,Topic ID
eb3b2524ab2e805472cc27831a3b129457cf2439,301889
7e9da632ee1053da4805dd9f61ee1ecfcecef275,518671
d0beae638dd986008ed4c5ae3c0454213dabfe8a,730685
eccb08cbf807c277d6b62a7cef35db1e2844f355,76985
3ca97e0d57d9bf4b4bbd576e76b879689043ca6f,54315
8ba0c5203d3dff39ae715d8d054d7197ba549ce2,586
d1e591b276ab3eb6ea3f5b21d8dd241a459b62c1,48672
fa64025e6d8acf251efb10d1678bc2cacc0aea31,241355
523eb6e3f08d1ae3c67f9841f820d3d84ad29470,2095146
6d3b60483c1509c1fa9cd42e743044e69dcfbcc5,72467
dc9b0e7ef342384df9bdf67bf49ec6bce33d625a,520
d748e272f8f5dc28d54e0a61387eb306a95d0f4c,25392
c46b3080a20ea9659ab8ea29e6ea9ad3d8142713,150424
ed716ad356fb54f023cca27d44ebc4d1b3dc30ad,874291
f61b12cab2f3ce1b5ed630b46d8e0b972bbd8d66,472651
cb1eaeb3f2ed922837d740c800830877ef4f6361,215959
f27293e429df0308fee41135c1b5498d01875b0d,2726734
53aca0ca806c9bb307f55a8838e4668bf4ca76c2,20406
e64a9e0051f7bd952632eb0dd7a1445b9bbd84ae,1009320
a7050efdccd7edbc674d71873a2bd49d35d53ac2,10176
4a780a3bdc298c7e64bb7cac1027cfdad675a6ae,230251
c5f1184a2e46ee1f698ff9825690953d9a1da15b,203531
cdd9282df6093d44358a0518edbda8d753a54178,18538
4dbbb0c5ab6caf7f789bc825d2611b9a14d0a08b,709748
23d7208a1aa6c34d0cd6c582db2710ef78a9938e,5204647
005aaf33039629410268ff5881897b039907e6fe,1248161
ea42e1645fb553b939dd2df8475be4bca75ff910,13374
756a523eae0f45a5238c32c04facf546fb437282,3259836
c2da21379e2c386cdc5c46d082e517bdeb115ee8,87837
8c60af259dd2dcb0115b0c758e89beaab458e2b9,4267286
d1b2bf76db603354a2eb96f845ad5cf70d770f55,78073
38821692abb544792a07df57d16227c68a1ca985,100528
e23b79e12a9ccc7b887fddd61a9780a8acbb1bd8,7800
44844508f7ff1eba2672f8343d807eadcb8a2f9a,1404511
8477b41659dc0ada289436ae8ef6feabdc98c913,949858
c77651acbdb6d8a7c1f1d5fa76f9954f0ccd54d2,60175
862490731cb78746aa1114c84c26852ec6bbca28,7716726
14d2a78e908c90d033fcf9d9862f2c38109ab951,3743635
b3d338173ce890e132f264e5b1aa0e924c20d633,145211
42aa858922c31bac97c15202b39c2c349c9c6659,977909
158d1b43ede66939286cc8343e6fe9dc908ecd3a,334179
d6863ed3dcdbaef6fdde75835e7a14af259a0ade,4171
23f6b4d4e9b17670bcfe9b52cff5b6c2c650c44c,802965
01d24d85aff58d529993253126a1ca11a602f68c,1836249
81db625d4f2a4a84fd7dd7a707384d9d4a0a0c96,47150
430df6dad4a2add22141f632df5769558a213931,1611611
6574d44beb7548b7214eb6072a761d5163df0338,62725
88ff48eabc10a51598e6cc19440151f8f650f3cc,9705468
c37bb8056d9ae92f513a73a5908ebb573d0f411b,450215
